S101:ativo:ZONA_CENTRO:[TEMP,HUM,RUIDO]:2026-03-10T08
S102:inativo:ZONA_NORTE:[TEMP,HUM,RUIDO]:2026-05-28T12:06:53
S103:inativo:ZONA_SUL:[TEMP,HUM,RUIDO]:2026-03-10T08
S104:inativo:ZONA_LESTE:[TEMP,HUM,RUIDO]:2026-04-17T22
S105:ativo:ZONA_OESTE:[TEMP,HUM,RUIDO]:2026-03-10T09
S106:inativo:ZONA_CENTRO:[TEMP,HUM,RUIDO]:2026-03-10T09
S107:inativo:ZONA_NORTE:[TEMP,RUIDO]:2026-04-17T23
S108:ativo:ZONA_SUL:[TEMP,HUM,RUIDO]:2026-03-10T09
S109:inativo:ZONA_LESTE:[TEMP,HUM,RUIDO]:2026-03-10T09
S110:ativo:ZONA_OESTE:[TEMP,HUM,RUIDO]:2026-03-10T09
S111:ativo:ZONA_CENTRO:[TEMP,HUM,RUIDO]:2026-03-10T09
S112:inativo:ZONA_NORTE:[TEMP,HUM,RUIDO]:2026-03-10T09
S113:inativo:ZONA_SUL:[TEMP,HUM,RUIDO,LUM]:2026-04-21T12
S114:inativo:ZONA_LESTE:[TEMP,HUM,RUIDO]:2026-04-20T16
S115:ativo:ZONA_OESTE:[TEMP,HUM,RUIDO]:2026-03-10T09
